part_number,part_name,quantity,unit,part_type,short_description,manufacturer,manufacturer_part_number,supplier,supplier_part_number,url,price_per_unit,currency,manufacturing_process,source_files,export_files,instructions_link,local_sourcing_notes,notes
1.1,Main processor,1,pcs,Buy,ESP32 microcontroller with Wi-Fi/BLE and USB-C,Seeed Studio or generic,XIAO ESP32-C3 / XIAO ESP32-S3 / ESP32-C3 Supermini / ESP32-S3 Supermini / Seeed ESP32-S3 with LoRa,TODO,TODO,TODO,TODO,IDR,,,,README.md#wiring,Five accepted variants so a build is not blocked when one is out of stock locally. LoRa is only available on the Seeed ESP32-S3 with the module on board,Master on the I2C bus. XIAO uses D4/D5 for I2C on the DIY PCB; Supermini uses D8/D9 — not interchangeable
1.2,Baseboard,1,pcs,Buy,Carrier board for the microcontroller and Grove sensor sockets,Seeed Studio or Fab Lab Bali,Grove Shield for XIAO / DIY custom PCB,TODO,TODO,TODO,TODO,IDR,,TODO — DIY PCB design files not in repo,TODO — DIY PCB gerbers not in repo,README.md#hybrid-architecture--what-you-can-substitute,Grove Shield is solderless; the DIY PCB is cheaper but needs soldering,Decides which HM3301 cover + board bracket STL you print — the cantilever hook spacing differs
1.3,Seeed Studio HM3301 particulate matter sensor,1,pcs,Buy,Laser-scattering PM1.0/PM2.5/PM10 sensor on a Grove carrier board,Seeed Studio,Grove - Laser PM2.5 Sensor (HM3301),TODO,TODO,TODO,TODO,IDR,,,,README.md#wiring,No substitute is designed for. About 3 weeks direct from Seeed per the campaign workshop notes,I2C address 0x40. Fan and laser require the 5 V rail — the source document's Grove Shield table saying 3.3 V is an error
1.4,BME680 environmental sensor,1,pcs,Buy,Temperature / humidity / pressure / gas sensor,Bosch Sensortec (sensor); Bosch breakout or Seeed Grove carrier,BME680,TODO,TODO,TODO,TODO,IDR,,,,README.md#wiring,Either the Bosch breakout or the Seeed Grove module — print the matching cover STL,I2C address 0x76 (0x77 if SDO is pulled high). 3.3 V logic. Sits in the same sealed volume as the radio — see README on self-heating
1.5,Top cover,1,pcs,Production,Printed top cover with detent snap-fit,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/TOP_COVER.stl,README.md#assembly,PETG or ASA required; PLA creeps in Bali sun,117.9 x 88.0 x 32.0 mm. 14154 triangles. Watertight
1.6,Main body — dual antenna,1,pcs,Production,Printed main chassis with two SMA ports and integrated mounting,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/MAIN_BODY_2_ANTENNA.stl,README.md#assembly,Print this OR the single-antenna body — not both,113.9 x 94.0 x 28.9 mm. 5544 triangles. Watertight. Wi-Fi + sub-GHz LoRa
1.7,Main body — single antenna,1,pcs,Production,Printed main chassis with one SMA port and integrated mounting,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/MAIN_BODY_1_ANTENNA.stl,README.md#assembly,Print this OR the dual-antenna body — not both,113.9 x 94.0 x 28.9 mm. 5422 triangles. Watertight. Wi-Fi only
1.8,HM3301 cover + board bracket — Grove Shield,1,pcs,Production,Printed PM sensor cover with cantilever hooks and Grove Shield mount,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/COVER_HM3301_BRACKET_BOARD_GROVE_SHIELD.stl,README.md#assembly,Print this only if using the Grove Shield,80.2 x 43.3 x 12.4 mm. 5166 triangles. Watertight
1.9,HM3301 cover + board bracket — DIY PCB,1,pcs,Production,Printed PM sensor cover with cantilever hooks and DIY PCB mount,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/COVER_HM3301_BRACKET_BOARD_PCB_DIY.stl,README.md#assembly,Print this only if using the DIY custom PCB,80.2 x 43.3 x 13.9 mm. 2472 triangles. Watertight
1.10,BME680 cover — Bosch,1,pcs,Production,Printed sensor cover with cantilever hooks sized for the Bosch breakout,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/COVER_BME680_BOSCH.stl,README.md#assembly,Print this only if using the Bosch breakout,45.9 x 26.1 x 3.4 mm. 1936 triangles. Watertight
1.11,BME680 cover — Seeed,1,pcs,Production,Printed sensor cover with cantilever hooks sized for the Seeed Grove module,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/COVER_BME680_SEEED_STUDIO.stl,README.md#assembly,Print this only if using the Seeed Grove BME680,45.9 x 26.1 x 2.2 mm. 640 triangles. Watertight
1.12,Outflow duct,1,pcs,Production,Printed duct that carries HM3301 exhaust sideways away from the intake,Fab Lab Bali,,,,,TODO,IDR,3D printing FDM,TODO — CAD source not in repo,stl/OUTFLOW_DUCT_HM3301.stl,README.md#airflow,Unchanged from node-v3.1,46.0 x 26.0 x 12.0 mm. 1548 triangles. 1 open edge and 1 degenerate triangle — re-export from source
2.1,SMA pigtail,1,pcs,Buy,Bulkhead SMA female to IPEX / U.FL pigtail,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any u.FL-to-SMA bulkhead pigtail matching the board's antenna connector,Quantity 2 for the dual-antenna body. The SMA nut is the only fastener in the whole build
2.2,External antenna 2.4 GHz,1,pcs,Buy,External Wi-Fi antenna,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Any 2.4 GHz SMA omni,TODO — gain not specified in the source
2.3,External antenna sub-GHz LoRa,1,pcs,Buy,External LoRa antenna,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#assembly,Only for the dual-antenna build. Match the regional LoRa band,TODO — band and gain not specified in the source. TODO — isolation between the two ports not measured
2.4,Cable set,1,lot,Buy,JST-XH and Grove 4-pin cables for internal wiring,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#wiring,Usually included with Seeed Grove sensors,
2.5,USB Type-C power supply and cable,1,pcs,Buy,5 V DC supply,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#hybrid-architecture--what-you-can-substitute,"5 V / 2 A. Label the plug ""Smart Citizen, do not unplug"" per the workshop kit notes",Unplugging to charge a phone is the most common reason a node goes silent
2.6,Cable tie,2,pcs,Standard,Nylon cable tie for pole or tree mounting,,,TODO,TODO,TODO,TODO,IDR,,,,README.md#mounting,20-30 cm long and 3-4 mm wide. Any hardware store,Pole mounting only. Not needed for a flat wall — the body hangs on moulded screw holes
